SpecName	accGenus	accSpecies	PalmTribe	PalmSubfamily	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	FruitColorDescription	MainFruitColors	Conspicuousness
Calamus foxworthyi	Calamus	foxworthyi	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus fuscus	Calamus	fuscus	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus gamblei	Calamus	gamblei	Calameae	Calamoideae	1	0	0	0	0	1	30	2.5	canopy		1	1		2			2			small	ovoid	yellow	yellow	conspicuous
Calamus gibbsianus	Calamus	gibbsianus	Calameae	Calamoideae	1	0	0	0	0	1	8	0.8	canopy		0.6	0.6		1.6			1.2			small	ovoid	pale brown	brown	cryptic
Calamus godefroyi	Calamus	godefroyi	Calameae	Calamoideae	1	0	0	0	0	1	30	1.5	canopy		1	1		1.6			1.2			small	ovoid	yellowish or whitish	"yellow; white"	cryptic
Calamus gogolensis	Calamus	gogolensis	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus gonospermus	Calamus	gonospermus	Calameae	Calamoideae	1	0	0	0	0	1	10	8	canopy		0.45			2			1.54			small	globose	pale brown	brown	cryptic
Calamus gracilis	Calamus	gracilis	Calameae	Calamoideae	1	0	0	0	0	1	30	2	canopy		0.7	0.7		2.7			2			small		yellowish or orange	orange	conspicuous
Calamus graminosus	Calamus	graminosus	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus grandifolius	Calamus	grandifolius	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus gregisectus	Calamus	gregisectus	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus griseus	Calamus	griseus	Calameae	Calamoideae	1	0	0	0	0	1	5	0.8	canopy		0.3	0.3		0.7			0.4			small	ovoid	brownish or yellowish	"brown; yellow"	cryptic
Calamus guruba	Calamus	guruba	Calameae	Calamoideae	1	0	0	0	0	1	20	3	canopy		1.3	1.3		0.8			0.8			small	ovoid	yellowish or brownish	"yellow; brown"	cryptic
Calamus hainanensis	Calamus	hainanensis	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus halmaherensis	Calamus	halmaherensis	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus harmandii	Calamus	harmandii	Calameae	Calamoideae	0	1	0	1	0	1	1.1	4	understorey		1	1		1.2			0.9			small		brownish or yellowish	"brown; yellow"	cryptic
Calamus hartmannii	Calamus	hartmannii	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus henryanus	Calamus	henryanus	Calameae	Calamoideae	1	0	0	0	0	1	20	1.8	canopy		1.3	1.3		1.5			1			small		"yellowish brown; straw coloured"	"brown; straw-coloured"	cryptic
Calamus hepburnii	Calamus	hepburnii	Calameae	Calamoideae	1	0	0	0	0	1	20	0.8	canopy		1	1									globose			
Calamus heteracanthus	Calamus	heteracanthus	Calameae	Calamoideae	1	0	0	1	0	1	25	35	canopy		3.3	3.25									globose			
Calamus heteroideus	Calamus	heteroideus	Calameae	Calamoideae	1	0	0		0	1			canopy					0.94			0.75			small		white to grey	"white; grey"	cryptic
Calamus hispidulus	Calamus	hispidulus	Calameae	Calamoideae	1	0	0	1	0	1	10	1.4	canopy		0.55	0.55		2			0.8			small	ovoid	"green with brown tip; purple"	"green; purple"	cryptic
Calamus holttumii	Calamus	holttumii	Calameae	Calamoideae	1	0	0	1	0	1	15	1	canopy		1	1		1			0.95			small	ovoid	green to brown	"green; brown"	cryptic
Calamus hookerianus	Calamus	hookerianus	Calameae	Calamoideae	1	0	0	0	0	1	10	4	canopy		1.3	1.3		1			1			small	globose	yellowish brown	brown	cryptic
Calamus hukaungensis	Calamus	hukaungensis	Calameae	Calamoideae	1	0	0	0	0	1	4	1	both		0.3	0.3									globose			
Calamus humboldtianus	Calamus	humboldtianus	Calameae	Calamoideae	1	0	0	0	1	1	10	6	canopy		1.17										ovoid			
Calamus hypertrichosus	Calamus	hypertrichosus	Calameae	Calamoideae	1	0	0	0	0	1	3	0.6	both		0.4	0.4												
Calamus hypoleucus	Calamus	hypoleucus	Calameae	Calamoideae	1	0	0		0	1		0.8	canopy		0.3	0.3									globose			
Calamus impar	Calamus	impar	Calameae	Calamoideae	1	0	0		0	1		0.6	canopy												ovoid			
Calamus inops	Calamus	inops	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus insignis	Calamus	insignis	Calameae	Calamoideae	1	0	0	2	0	1	40	2	canopy		2.09	2		1.1	1	1.2	0.7			small	ovoid	"yellowish; pale yellowish-brown"	brown	cryptic
Calamus interruptus	Calamus	interruptus	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus javensis	Calamus	javensis	Calameae	Calamoideae	1	0	0	0	0	1	10	1	canopy		0.6	0.6		1.35	1.2	1.5	1	0.8	1.2	small	globose	"whitish; greenish white"	white	cryptic
Calamus jenningsianus	Calamus	jenningsianus	Calameae	Calamoideae	1	0	0		0	1			canopy					2			1.7			small		purple and white	"purple; white"	cryptic
Calamus kandariensis	Calamus	kandariensis	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus karnatakensis	Calamus	karnatakensis	Calameae	Calamoideae	1	0	0	0	0	1	35	3	canopy		1.2	1.2		0.8			0.8			small	ovoid	yellowish	yellow	cryptic
Calamus karuensis	Calamus	karuensis	Calameae	Calamoideae	1	0	0		0	1			canopy												globose	black	black	cryptic
Calamus keyensis	Calamus	keyensis	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus kiahii	Calamus	kiahii	Calameae	Calamoideae	2	0	2	0	0	1	10	1	canopy		1.1	1.1		2.5	2		2			small	ovoid	pale grey to green to brown	"grey; green; brown"	cryptic
Calamus kingianus	Calamus	kingianus	Calameae	Calamoideae	1	0	0	0	0	1	5	1.2	canopy		0.6	0.6		1			1			small		yellowish	yellow	cryptic
Calamus kjellbergii	Calamus	kjellbergii	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus klossii	Calamus	klossii	Calameae	Calamoideae	1	0	0		0	1			canopy		0.3	0.3									ovoid			
Calamus kontumensis	Calamus	kontumensis	Calameae	Calamoideae	1	0	0		0	1	3	0.9	both		0.3	0.3		3.5			2			small	globose	orange	orange	conspicuous
Calamus koordersianus	Calamus	koordersianus	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus lacciferus	Calamus	lacciferus	Calameae	Calamoideae	1	0	0	0	0	1	15	4	canopy		1.6	1.6		2			2			small	globose	yellowish	yellow	cryptic
Calamus laevigatus	Calamus	laevigatus	Calameae	Calamoideae	1	0	0	1	0	1	30	2	canopy		1	1		1.2			1			small		"yellowish; glossy yellowish brown"	brown	cryptic
Calamus lakshmanae	Calamus	lakshmanae	Calameae	Calamoideae	1	0	0	0	0	1	20	2.5	canopy		1.4	1.4		1			0.7			small	ovoid	brownish yellow	yellow	cryptic
Calamus lambirensis	Calamus	lambirensis	Calameae	Calamoideae	1	0	0	0	0	1	3	1	both		0.75	0.75		0.7			0.7			small	elongate			
Calamus laoensis	Calamus	laoensis	Calameae	Calamoideae	1	0	0	0	0	1	40	5	canopy		2	2		2			1.2			small	globose	brown	brown	cryptic
Calamus lateralis	Calamus	lateralis	Calameae	Calamoideae	1	0	0	1	0	1	70	5.5	canopy		1.4	1.4		2			2			small		reddish brown	brown	cryptic
Calamus latifolius	Calamus	latifolius	Calameae	Calamoideae	1	0	0	0	0	1	20	3	canopy		2.5	2.5									globose	dull brown to blackish	brown	cryptic
Calamus latispinus	Calamus	latispinus	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus lauterbachii	Calamus	lauterbachii	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus laxissimus	Calamus	laxissimus	Calameae	Calamoideae	2	0	2	1	0	1	3	0.7	understorey		2	2									ovoid			
Calamus ledermannianus	Calamus	ledermannianus	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus leiocaulis	Calamus	leiocaulis	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus leloi	Calamus	leloi	Calameae	Calamoideae	1	0	0	1	0	1	10	1	canopy		1			1.8			1.8			small	ovoid	chestnut brown	brown	cryptic
Calamus leptospadix	Calamus	leptospadix	Calameae	Calamoideae	1	0	0	0	0	1	25	2	canopy		2	2		1.5			1.5			small	ovoid	white or yellowish	white	cryptic
Calamus leptostachys	Calamus	leptostachys	Calameae	Calamoideae	1	0	0		0	1			canopy					0.9	0.8	1	0.55			small	globose	white	white	cryptic
Calamus lobbianus	Calamus	lobbianus	Calameae	Calamoideae	0	1	0	1	0	1	0.5	3	understorey		2	2		3			2			small	ovoid	"dark brown; grey; black"	"brown; grey; black"	cryptic
Calamus longipinna	Calamus	longipinna	Calameae	Calamoideae	1	0	0	0	1	1	25	35	canopy		0.7			0.77			0.58			small	ovoid	"green; bluish green"	green	cryptic
Calamus longisetus	Calamus	longisetus	Calameae	Calamoideae	1	0	0	0	0	1	50	10	canopy		4	4		3.5			2			small	ovoid	"brown; tan"	brown	cryptic
Calamus longispathus	Calamus	longispathus	Calameae	Calamoideae	1	0	0	0	0	1	7	2	canopy		3	3		2.8			2			small		green	green	cryptic
Calamus luridus	Calamus	luridus	Calameae	Calamoideae	1	0	0	0	0	1	20	2	canopy		1.3	1.3		1			0.8			small		"yellowish; yellowish brown; pale with green sarcotesta"	brown	cryptic
Calamus macgregorii	Calamus	macgregorii	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus macrochlamys	Calamus	macrochlamys	Calameae	Calamoideae	1	0	0	0	0	1	50	2.6	canopy		1.05	0.95		1.1	1	1.15	1.15	1	1.15	small	ovoid	yellowish brown	brown	cryptic
Calamus macrorhynchus	Calamus	macrorhynchus	Calameae	Calamoideae	0	0	1	0	0	1	3	4	understorey		1	1		2.7			1.5			small		reddish brown	brown	cryptic
Calamus macrosphaerion	Calamus	macrosphaerion	Calameae	Calamoideae	1	0	0	1	0	1	40	5	canopy		7			2.5			2			small		white	white	cryptic
Calamus maiadum	Calamus	maiadum	Calameae	Calamoideae	0	0	1	1	0	1	3	5	understorey		2.2	2.2												
Calamus malawaliensis	Calamus	malawaliensis	Calameae	Calamoideae	1	0	0		0	1	7	0.4	canopy		0.4			0.75	0.7	0.8	0.72			small	ovoid	"straw-coloured; shiny"	straw-coloured	cryptic
Calamus manan	Calamus	manan	Calameae	Calamoideae	1	0	0	1	0	1	170	11	canopy		5	5		2.8			2			small	ovoid	yellowish	yellow	cryptic
Calamus manillensis	Calamus	manillensis	Calameae	Calamoideae	1	0	0		0	1			canopy					1.9			1.75			small		brown	brown	cryptic
Calamus marginatus	Calamus	marginatus	Calameae	Calamoideae	1	0	0	2	0	1	15	1.8	canopy		1.15			1.6			1.2			small	globose	reddish-brown	brown	cryptic
Calamus maritimus	Calamus	maritimus	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus mattanensis	Calamus	mattanensis	Calameae	Calamoideae	1	0	0	2	0	1	15	1.8	canopy		2	2		1.5			1			small		"green to yellow-whitish; brown"	"green; yellow; brown"	conspicuous
Calamus maturbongsii	Calamus	maturbongsii	Calameae	Calamoideae	1	0	0	0	0	1	30	2.2	canopy		1	1		1.5			1.2			small	ovoid			
Calamus mayrii	Calamus	mayrii	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus megaphyllus	Calamus	megaphyllus	Calameae	Calamoideae	1	0	0		0	1			canopy					1.15			0.9			small	ovoid			
Calamus meghalayensis	Calamus	meghalayensis	Calameae	Calamoideae	1	0	0		0	1	2	0.6	both		0.3	0.3		1			1			small	globose	yellowish	yellow	cryptic
Calamus melanacanthos	Calamus	melanacanthos	Calameae	Calamoideae	1	0	0	1	0	1			canopy															
Calamus melanochrous	Calamus	melanochrous	Calameae	Calamoideae	1	0	0		0	1			canopy		1			2.4			1.8			small	ovoid	black	black	cryptic
Calamus melanoloma	Calamus	melanoloma	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus melanorhynchus	Calamus	melanorhynchus	Calameae	Calamoideae	1	0	0		0	1			canopy					1.3			1			small				
Calamus merrillii	Calamus	merrillii	Calameae	Calamoideae	1	0	0		0	1	60		canopy					1			1			small		"white; grey green"	"white; grey; green"	cryptic
Calamus mesilauensis	Calamus	mesilauensis	Calameae	Calamoideae	1	0	0	0	0	1	10	0.8	canopy		0.5	0.5		2	1.8		2	2.3		small		"deep reddish brown; red"	"brown; red"	conspicuous
Calamus metzianus	Calamus	metzianus	Calameae	Calamoideae	1	0	0	0	0	1	15	2	canopy		1.5	1.5		1.7			1.1			small		yellow	yellow	conspicuous
Calamus micranthus	Calamus	micranthus	Calameae	Calamoideae	1	0	0		0	1			canopy					0.9			0.82			small		green	green	cryptic
Calamus microcarpus	Calamus	microcarpus	Calameae	Calamoideae	1	0	0		0	1			canopy					0.72			0.66			small	ovoid	yellowish-white	white	cryptic
Calamus microsphaerion	Calamus	microsphaerion	Calameae	Calamoideae	1	0	0	1	0	1	10	1	canopy		1.5			0.6			0.6			small	globose	pale green to pale brown	"green; brown"	cryptic
Calamus minahassae	Calamus	minahassae	Calameae	Calamoideae	1	0	0		0	1			canopy					1.24			0.85			small		young fruits green		
Calamus mindorensis	Calamus	mindorensis	Calameae	Calamoideae	1	0	0		0	1			canopy					0.77			0.75			small	ovoid			
Calamus minor	Calamus	minor	Calameae	Calamoideae	1	0	0	0	0	1	3	1	both		0.7	0.7												
Calamus minutus	Calamus	minutus	Calameae	Calamoideae	0	1	0	1	0	1	0.6	1.3	understorey		0.6	0.6		0.8			0.8			small		"chestnut brown scales; dull"	brown	cryptic
Calamus mitis	Calamus	mitis	Calameae	Calamoideae	1	0	0		0	1			canopy					1.5			1.2			small	globose	creaming-white	white	cryptic
Calamus modestus	Calamus	modestus	Calameae	Calamoideae	0	0	1	0	0	1	1.5	2	understorey		0.8	0.8		1.5			0.6			small		orange-brown	brown	cryptic
Calamus mogeae	Calamus	mogeae	Calameae	Calamoideae	1	0	0	0	0	1	4	8	both					1.4			0.75			small	ovoid			
Calamus moorhousei	Calamus	moorhousei	Calameae	Calamoideae	1	0	0	0	0	1		1.1	canopy		1	1									ovoid			
Calamus moseleyanus	Calamus	moseleyanus	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus moszkowskianus	Calamus	moszkowskianus	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus moti	Calamus	moti	Calameae	Calamoideae	1	0	0	0	0	1	45	5	canopy		4	3		1.3			1.3			small	globose	cream to yellow	"cream; yellow"	conspicuous
Calamus muelleri	Calamus	muelleri	Calameae	Calamoideae	1	0	0	0	1	1	20	1.6	canopy		1	0.5		1.3			1.3	1	1.6	small	ovoid	yellow	yellow	conspicuous
Calamus multinervis	Calamus	multinervis	Calameae	Calamoideae	1	0	0		0	1			canopy					0.93			0.67			small	globose	young green		
Calamus multisetosus	Calamus	multisetosus	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus multispicatus	Calamus	multispicatus	Calameae	Calamoideae	1	0	0	0	0	1	5	1.5	canopy		1.3	1.3		1			1			small		yellowish brown	brown	cryptic
Calamus muricatus	Calamus	muricatus	Calameae	Calamoideae	1	0	0	1	0	1	10	1.5	canopy		0.7			1			0.98	0.9	1.06	small	ovoid	pale brown	brown	cryptic
Calamus myriacanthus	Calamus	myriacanthus	Calameae	Calamoideae	0	0	1	1	0	1	3	4.5	understorey		2.5	2.5		0.5			0.5	0.35		small		reddish brown	brown	cryptic
Calamus myriocarpus	Calamus	myriocarpus	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus myriocladus	Calamus	myriocladus	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus nagbettai	Calamus	nagbettai	Calameae	Calamoideae	1	0	0	0	0	1	25	10	canopy		3	3		1.6			1			small	ovoid	brown	brown	cryptic
Calamus nambariensis	Calamus	nambariensis	Calameae	Calamoideae	1	0	0	0	0	1	30	6	canopy		4	4		2.4			2.5			small	ovoid	yellowish brown	brown	cryptic
Calamus nannostachys	Calamus	nannostachys	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus nanodendron	Calamus	nanodendron	Calameae	Calamoideae	0	1	0	1	0	1	1	10	understorey		2.5	2.5		2.82			3.17			small	globose	dull straw-coloured scales	straw-coloured	cryptic
Calamus neelagiricus	Calamus	neelagiricus	Calameae	Calamoideae	1	0	0	1	0	1	25	5	canopy		1.8	1.8		1			0.5			small	ovoid	yellowish	yellow	cryptic
Calamus nematospadix	Calamus	nematospadix	Calameae	Calamoideae	1	0	0	2	0	1	10	1.8	canopy		0.6			0.7			0.65			small	globose	"pale ivory; white"	"ivory; white"	cryptic
Calamus nicobaricus	Calamus	nicobaricus	Calameae	Calamoideae	1	0	0	0	0	1		1.4	canopy		0.9	0.9									globose			
Calamus nielsenii	Calamus	nielsenii	Calameae	Calamoideae	1	0	0	0	0	1	1	0.8	both		0.38	0.38									globose			
Calamus nigricans	Calamus	nigricans	Calameae	Calamoideae	1	0	0	0	0	1		1.32	canopy		1	1												
Calamus occidentalis	Calamus	occidentalis	Calameae	Calamoideae	1	0	0	1	0	1	100	7	canopy		3	3		1.85	1.8	1.9	1.3	1.2	1.4	small	ovoid			
Calamus oligostachys	Calamus	oligostachys	Calameae	Calamoideae	1	0	0	0	0	1	7	1	canopy		0.6	0.6		0.7			0.7			small		yellowish	yellow	cryptic
Calamus opacus	Calamus	opacus	Calameae	Calamoideae	1	0	0		0	1			canopy					0.94			0.6			small				
Calamus optimus	Calamus	optimus	Calameae	Calamoideae	1	0	0	0	0	1	50	1.5	canopy		1	1		1.4			1.1			small	globose	pale yellowish-brown	brown	cryptic
Calamus ornatus	Calamus	ornatus	Calameae	Calamoideae	1	0	0	0	0	1	60	8	canopy		4.83	4	0.95	3			2			small		"black; yellow-brown; deep-brown"	"black; brown"	cryptic
Calamus orthostachyus	Calamus	orthostachyus	Calameae	Calamoideae	1	0	0		0	1			canopy					1.33			0.71			small		young fruits green		
Calamus ovoideus	Calamus	ovoideus	Calameae	Calamoideae	1	0	0	0	0	1	100	8	canopy		4	4		1.6			1			small		yellowish green	green	cryptic
Calamus oxleyanus	Calamus	oxleyanus	Calameae	Calamoideae	1	0	0	2	0	1	15	3	canopy		2.9	2.5	0.45	1.2	1	1.4	0.85	0.7	1	small	globose	yellowish brown	brown	cryptic
Calamus oxycarpus	Calamus	oxycarpus	Calameae	Calamoideae	0	0	1	0	0	1	3	2	understorey		0.5	0.5		3			1.7			small	ovoid	reddish brown	brown	cryptic
Calamus pachypus	Calamus	pachypus	Calameae	Calamoideae	1	0	0	1	0	1	26	6	canopy		4	4		1.25	1	1.5	1.1	0.85	1.35	small		white	white	cryptic
Calamus pachystachys	Calamus	pachystachys	Calameae	Calamoideae	1	0	0		0	1			canopy					1.1			1.1			small	globose			
Calamus pachystemonus	Calamus	pachystemonus	Calameae	Calamoideae	1	0	0	0	0	1	15	1	canopy		0.2	0.2		0.5			0.5			small	globose	brown	brown	cryptic
Calamus padangensis	Calamus	padangensis	Calameae	Calamoideae	0	0	1	0	0	1		0.7			0.4	0.4									globose			
Calamus palustris	Calamus	palustris	Calameae	Calamoideae	1	0	0	0	0	1	30	5	canopy		3	3		1.5	1.2	1.8	1.2	1	1.4	small	globose	"yellowish; yellowish white"	white	cryptic
Calamus pandanosmus	Calamus	pandanosmus	Calameae	Calamoideae	1	0	0	0	0	1	15	1	canopy		0.5	0.5		1.5		1.7	1.5		1.9	small	ovoid	brownish	brown	cryptic
Calamus papuanus	Calamus	papuanus	Calameae	Calamoideae	1	0	0	0	0	1	15	1	canopy		0.3										globose			
Calamus parvulus	Calamus	parvulus	Calameae	Calamoideae	1	0	0	0	0	1	10	0.3	canopy			0.19	0.03											
Calamus paspalanthus	Calamus	paspalanthus	Calameae	Calamoideae	1	0	0	1	0	1	20	1.5	canopy		1.2			1.775	1.75	1.8	1.4		1.6	small	globose	red-brown	brown	cryptic
Calamus paucijugus	Calamus	paucijugus	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus paulii	Calamus	paulii	Calameae	Calamoideae	0	0	1	1	0	1	1	2.5	understorey		1.2	1.2		0.8			0.8			small	ovoid	brown	brown	cryptic
Calamus pedicellatus	Calamus	pedicellatus	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus penicillatus	Calamus	penicillatus	Calameae	Calamoideae	1	0	0	0	0	1	40	0.4	canopy		0.4	0.4									globose			
Calamus perakensis	Calamus	perakensis	Calameae	Calamoideae	2	2	0	1	0	1	5		understorey					0.95			0.66			small		purple-red	purple	cryptic
Calamus peregrinus	Calamus	peregrinus	Calameae	Calamoideae	1	0	0	1	0	1	40	9	canopy		3.5	3.5		2			1.6			small	globose	"reddish brown; glossy"	brown	cryptic
Calamus pholidostachys	Calamus	pholidostachys	Calameae	Calamoideae	1	0	0	1	0	1	30	4	canopy		2	2		1.53	1.4	1.65	1.1	0.95	1.25	small				
Calamus pilosellus	Calamus	pilosellus	Calameae	Calamoideae	1	0	0	0	0	1	10	0.6	canopy		0.5	0.5		0.7			0.85			small	elongate	"orange; yellow"	"orange; yellow"	conspicuous
Calamus pilosissimus	Calamus	pilosissimus	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus pisicarpus	Calamus	pisicarpus	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus platyspathus	Calamus	platyspathus	Calameae	Calamoideae	1	0	0	0	0	1	25	3	canopy		1.7	1.7		0.8			0.8			small	globose	whitish	white	cryptic
Calamus plicatus	Calamus	plicatus	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus poensis	Calamus	poensis	Calameae	Calamoideae	1	0	0	2	0	1	5	1.5	canopy		0.8	0.8									ovoid	dark brown?	brown	cryptic
Calamus pogonacanthus	Calamus	pogonacanthus	Calameae	Calamoideae	1	0	0	0	0	1	30	1.5	canopy		1.1	1.1		0.8			1			small		pale straw-coloured	straw-coloured	cryptic
Calamus poilanei	Calamus	poilanei	Calameae	Calamoideae	1	0	0	1	0	1	150	7.5	canopy		3.4	3.4		2			1.4			small	globose	brown	brown	cryptic
Calamus polycladus	Calamus	polycladus	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus polystachys	Calamus	polystachys	Calameae	Calamoideae	1	0	0	0	0	1		3.5	canopy		2.5	2.5		0.77	0.7	0.84	0.75	0.6	0.8	small	globose	ivory	ivory	cryptic
Calamus praetermissus	Calamus	praetermissus	Calameae	Calamoideae	1	0	0	0	0	1	25	1.8	canopy		1.1			1.15	1.1	1.2	0.85	0.8	0.9	small	globose	pale brown	brown	cryptic
Calamus prasinus	Calamus	prasinus	Calameae	Calamoideae	1	0	0	1	0	1		3	canopy		2.2	2.2									pyramidal	yellow	yellow	conspicuous
Calamus prattianus	Calamus	prattianus	Calameae	Calamoideae	1	0	0		0	1			canopy												globose			
Calamus pseudofeanus	Calamus	pseudofeanus	Calameae	Calamoideae	1	0	0		0	1		4	canopy					1.5			1			small	ovoid	yellow	yellow	conspicuous
Calamus pseudomollis	Calamus	pseudomollis	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus pseudorivalis	Calamus	pseudorivalis	Calameae	Calamoideae	1	0	0	0	0	1	30	3	canopy		1	1		1.5			1			small		yellowish	yellow	cryptic
Calamus pseudotenuis	Calamus	pseudotenuis	Calameae	Calamoideae	1	0	0	0	0	1	15	5	canopy		1.5	1.5		1.5			1.5			small	globose	"yellow; white with dark brown margins"	"yellow; white"	conspicuous
Calamus pseudoulur	Calamus	pseudoulur	Calameae	Calamoideae	1	0	0	0	0	1	20	2	canopy		2.4	2.4		2.2			2.1			small	globose	red brown	brown	cryptic
Calamus pseudozebrinus	Calamus	pseudozebrinus	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus psilocladus	Calamus	psilocladus	Calameae	Calamoideae	1	0	0	1	0	1	5	1.2	canopy		0.55	0.55		0.8			0.8			small	globose	ivory	ivory	cryptic
Calamus pulaiensis	Calamus	pulaiensis	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus pulcher	Calamus	pulcher	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus pycnocarpus	Calamus	pycnocarpus	Calameae	Calamoideae	1	0	0	0	0	1	30	0.5	canopy		0.4	0.4		2.745	2	3.49	1.8	1.5	2.1	small	ovoid	"orange-yellow; chestnut"	"orange; yellow; brown"	conspicuous
Calamus pygmaeus	Calamus	pygmaeus	Calameae	Calamoideae	0	1	0	0	0	1	0.3	1	understorey		0.75	0.75		0.75			0.75			small	ovoid	straw-coloured brown scales	"straw-coloured; brown"	cryptic
Calamus quinquenervius	Calamus	quinquenervius	Calameae	Calamoideae	1	0	0	1	0	1	70		canopy		2			1.95	1.6	2.3				small	ovoid			
Calamus radiatus	Calamus	radiatus	Calameae	Calamoideae	1	0	0	0	0	1	5	0.7	canopy		0.2	0.2		1.2			1.2			small		yellow	yellow	conspicuous
Calamus radicalis	Calamus	radicalis	Calameae	Calamoideae	1	0	0	0	0	1	40	4	canopy		3			0.9			0.9	0.8	1	small	ovoid	"cream to pale brown; scale margins reddish"	"cream; brown"	cryptic
Calamus radulosus	Calamus	radulosus	Calameae	Calamoideae	1	0	0	0	0	1	15	1.5	canopy		1.5	1.5												
Calamus ramulosus	Calamus	ramulosus	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus reinwardtii	Calamus	reinwardtii	Calameae	Calamoideae	1	0	0		0	1			canopy															
Calamus renukae	Calamus	renukae	Calameae	Calamoideae	1	0	0	0	0	1	25	4.5	canopy		1.8		0.35	2			1.8			small	globose	reddish brown	brown	cryptic
Calamus reticulatus	Calamus	reticulatus	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid	cream	cream	cryptic
Calamus reyesianus	Calamus	reyesianus	Calameae	Calamoideae	1	0	0	0	0	1			canopy					2			2			small		white	white	cryptic
Calamus rhabdocladus	Calamus	rhabdocladus	Calameae	Calamoideae	1	0	0	0	0	1	40	6	canopy		1.5	1.5		1.4			0.8			small		reddish or yellowish	"red; yellow"	conspicuous
Calamus rheedei	Calamus	rheedei	Calameae	Calamoideae	1	0	0	0	0	1		1.3	canopy		0.8	0.8		2.2			1.5			small	globose	brown	brown	cryptic
Calamus rhomboideus	Calamus	rhomboideus	Calameae	Calamoideae	1	0	0		0	1			canopy					2.45			2			small		orange	orange	conspicuous
Calamus rhytidomus	Calamus	rhytidomus	Calameae	Calamoideae	1	0	0	0	0	1		2.09	canopy					1.5			1.1			small	ovoid			
Calamus ridleyanus	Calamus	ridleyanus	Calameae	Calamoideae	1	0	0	0	0	1	30	1	canopy		1.3	1.3		1.25			0.68			small	globose	pale brown when young		
Calamus robinsonianus	Calamus	robinsonianus	Calameae	Calamoideae	1	0	0		0	1			canopy												ovoid			
Calamus rotang	Calamus	rotang	Calameae	Calamoideae	1	0	0	0	0	1	30	2	canopy		0.8	0.8		1.5			1.5			small	ovoid	"orange-red; violet to black"	"orange; red; purple; black"	conspicuous
Calamus rudentum	Calamus	rudentum	Calameae	Calamoideae	1	0	0	0	0	1	75	7	canopy		3	3		2			1.5			small	ovoid	yellowish	yellow	cryptic
Calamus rugosus	Calamus	rugosus	Calameae	Calamoideae	1	0	0	1	0	1	8	0.6	canopy		0.8	0.8									ovoid			
